subscription,device,app,weight,path,QoS Score
sub1,dev1,app2_comp1,0.2,"dev1,sw1,comp1,app2_comp1",0.4836
sub2,dev2,app2_comp1,0.2,"dev2,sw1,comp1,app2_comp1",0.3028
sub3,dev3,app2_comp1,0.2,"dev3,sw1,comp1,app2_comp1",0.4041
sub4,dev4,app2_comp1,0.2,"dev4,sw1,comp1,app2_comp1",0.4869
sub5,dev5,app2_comp1,0.4,"dev5,sw1,comp1,app2_comp1",0.2943
sub6,dev6,app2_comp1,0.4,"dev6,sw1,comp1,app2_comp1",0.2602
sub7,dev7,app2_comp1,0.2,"dev7,sw2,sw0,sw1,comp1,app2_comp1",0.5077
sub8,dev8,app2_comp1,0.2,"dev8,sw2,sw0,sw1,comp1,app2_comp1",0.518
sub9,dev9,app2_comp1,0.2,"dev9,sw2,sw0,sw1,comp1,app2_comp1",0.5647
sub10,dev10,app2_comp1,0.2,"dev10,sw2,sw0,sw1,comp1,app2_comp1",0.475
sub11,dev11,app2_comp1,0.4,"dev11,sw2,sw0,sw1,comp1,app2_comp1",0.4721
sub12,dev12,app2_comp1,0.4,"dev12,sw2,sw0,sw1,comp1,app2_comp1",0.4535
sub13,dev13,app2_comp1,0.2,"dev13,sw3,sw0,sw1,comp1,app2_comp1",0.5233
sub14,dev14,app2_comp1,0.2,"dev14,sw3,sw0,sw1,comp1,app2_comp1",0.4961
sub15,dev15,app2_comp1,0.2,"dev15,sw3,sw0,sw1,comp1,app2_comp1",0.4976
sub16,dev16,app2_comp1,0.2,"dev16,sw3,sw0,sw1,comp1,app2_comp1",0.4364
sub17,dev17,app2_comp1,0.4,"dev17,sw3,sw0,sw1,comp1,app2_comp1",0.4521
sub18,dev18,app2_comp1,0.4,"dev18,sw3,sw0,sw1,comp1,app2_comp1",0.4442
sub19,dev19,app2_comp1,0.4,"dev19,sw3,sw0,sw1,comp1,app2_comp1",0.4264
sub20,dev20,app2_comp1,0.4,"dev20,sw3,sw0,sw1,comp1,app2_comp1",0.4273
sub21,dev7,app1_comp2,0.3,"dev7,sw2,sw0,comp2,app1_comp2",-0.6283
sub22,dev8,app1_comp2,0.3,"dev8,sw2,sw0,comp2,app1_comp2",-0.654
sub23,dev9,app1_comp2,0.3,"dev9,sw2,sw0,comp2,app1_comp2",-0.8034
sub24,dev10,app1_comp2,0.3,"dev10,sw2,sw0,comp2,app1_comp2",-0.6453
sub25,dev11,app1_comp2,0.5,"dev11,sw2,sw0,comp2,app1_comp2",-1.0948
sub26,dev12,app1_comp2,0.5,"dev12,sw2,sw0,comp2,app1_comp2",-1.0357
sub27,dev5,app4_comp1,0.8,"dev5,sw1,comp1,app4_comp1",0.4133
sub28,dev6,app4_comp1,0.8,"dev6,sw1,comp1,app4_comp1",0.4114
sub29,dev11,app4_comp2,0.8,"dev11,sw2,sw0,comp2,app4_comp2",-0.8292
sub30,dev12,app4_comp2,0.8,"dev12,sw2,sw0,comp2,app4_comp2",-0.8343
sub31,dev17,app4_comp3,0.8,"dev17,sw3,comp3,app4_comp3",0.2162
sub32,dev18,app4_comp3,0.8,"dev18,sw3,comp3,app4_comp3",0.2175
sub33,dev19,app4_comp3,0.8,"dev19,sw3,comp3,app4_comp3",0.2217
sub34,dev20,app4_comp3,0.8,"dev20,sw3,comp3,app4_comp3",0.2233
sub35,dev13,app3_comp2,0.9,"dev13,sw3,sw0,comp2,app3_comp2",-0.9704
sub36,dev14,app3_comp2,0.9,"dev14,sw3,sw0,comp2,app3_comp2",-0.9462
