subscription,device,app,weight,path
sub1,dev1,app1_comp2,0.2,"dev1,sw1,sw0,comp2,app1_comp2"
sub2,dev2,app1_comp2,0.2,"dev2,sw1,sw0,comp2,app1_comp2"
sub3,dev3,app1_comp2,0.2,"dev3,sw1,sw0,comp2,app1_comp2"
sub4,dev4,app1_comp2,0.2,"dev4,sw1,sw0,comp2,app1_comp2"
sub5,dev5,app1_comp2,0.4,"dev5,sw1,sw0,comp2,app1_comp2"
sub6,dev6,app1_comp2,0.4,"dev6,sw1,sw0,comp2,app1_comp2"
sub7,dev7,app1_comp4,0.2,"dev7,sw2,sw3,comp4,app1_comp4"
sub8,dev8,app1_comp4,0.2,"dev8,sw2,sw3,comp4,app1_comp4"
sub9,dev9,app1_comp4,0.2,"dev9,sw2,sw3,comp4,app1_comp4"
sub10,dev10,app1_comp4,0.2,"dev10,sw2,sw3,comp4,app1_comp4"
sub11,dev11,app1_comp4,0.4,"dev11,sw2,sw3,comp4,app1_comp4"
sub12,dev12,app1_comp4,0.4,"dev12,sw2,sw3,comp4,app1_comp4"
sub13,dev13,app1_comp4,0.2,"dev13,sw3,comp4,app1_comp4"
sub14,dev14,app1_comp4,0.2,"dev14,sw3,comp4,app1_comp4"
sub15,dev15,app1_comp4,0.2,"dev15,sw3,comp4,app1_comp4"
sub16,dev16,app1_comp4,0.2,"dev16,sw3,comp4,app1_comp4"
sub17,dev17,app1_comp4,0.4,"dev17,sw3,comp4,app1_comp4"
sub18,dev18,app1_comp4,0.4,"dev18,sw3,comp4,app1_comp4"
sub19,dev19,app1_comp4,0.4,"dev19,sw3,comp4,app1_comp4"
sub20,dev20,app1_comp4,0.4,"dev20,sw3,comp4,app1_comp4"
sub21,dev7,app2_comp3,0.3,"dev7,sw2,comp3,app2_comp3"
sub22,dev8,app2_comp3,0.3,"dev8,sw2,comp3,app2_comp3"
sub23,dev9,app2_comp3,0.3,"dev9,sw2,comp3,app2_comp3"
sub24,dev10,app2_comp3,0.3,"dev10,sw2,comp3,app2_comp3"
sub25,dev11,app2_comp3,0.5,"dev11,sw2,comp3,app2_comp3"
sub26,dev12,app2_comp3,0.5,"dev12,sw2,comp3,app2_comp3"
sub27,dev5,app3_comp3,0.8,"dev5,sw1,sw0,sw2,comp3,app3_comp3"
sub28,dev6,app3_comp3,0.8,"dev6,sw1,sw0,sw2,comp3,app3_comp3"
sub29,dev11,app3_comp3,0.8,"dev11,sw2,comp3,app3_comp3"
sub30,dev12,app3_comp3,0.8,"dev12,sw2,comp3,app3_comp3"
sub31,dev17,app3_comp1,0.8,"dev17,sw3,comp1,app3_comp1"
sub32,dev18,app3_comp1,0.8,"dev18,sw3,comp1,app3_comp1"
sub33,dev19,app3_comp1,0.8,"dev19,sw3,comp1,app3_comp1"
sub34,dev20,app3_comp1,0.8,"dev20,sw3,comp1,app3_comp1"
sub35,dev13,app4_comp4,0.9,"dev13,sw3,comp4,app4_comp4"
sub36,dev14,app4_comp4,0.9,"dev14,sw3,comp4,app4_comp4"
